ID,%,Título,Estado,Departamento,Estrutura,Marcadores,Data Inicial,Data Final,Parecer Final
63860,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Educação do Campo - Arraias (UA)",pat_aprovado,Coordenação do Curso de Educação do Campo - Arraias (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63840,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Enfermagem - Palmas (UA)",pat_aprovado,Coordenação do Curso de Enfermagem - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63775,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Engenharia Ambiental - Palmas (UA)",pat_aprovado,Coordenação do Curso de Engenharia Ambiental - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63825,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Engenharia Civil - Palmas (UA)",pat_aprovado,Coordenação do Curso de Engenharia Civil - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63780,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Engenharia de Alimentos - Palmas (UA)",pat_aprovado,Coordenação do Curso de Engenharia de Alimentos - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63830,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Engenharia Elétrica - Palmas (UA)",pat_aprovado,Coordenação do Curso de Engenharia Elétrica - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63820,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Filosofia - Palmas (UA)",pat_aprovado,Coordenação do Curso de Filosofia - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63725,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Geografia - Porto Nacional (UA)",pat_aprovado,Coordenação do Curso de Geografia - Porto Nacional (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63735,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de História - Porto Nacional (UA)",pat_aprovado,Coordenação do Curso de História - Porto Nacional (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
63765,0,"U 3.1.6.36 - Institucionalizar a Política de Acompanhamento Acadêmico, abrangendo os níveis de graduação e pós-graduação, visando fortalecimento do desempenho acadêmico na trajetória formativa | Coordenação do Curso de Jornalismo - Palmas (UA)",pat_aprovado,Coordenação do Curso de Jornalismo - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
